distance_km,items,traffic_level,preparation_minutes,delivery_minutes
37.2,4.0,2.0,10.0,108.7
30.5,10.0,4.0,31.0,134.8
13.7,3.0,1.0,60.0,67.5
9.0,9.0,3.0,9.0,61.0
12.4,,2.0,57.0,78.5
16.0,2.0,3.0,49.0,80.6
26.7,1.0,3.0,54.0,111.5
11.1,3.0,4.0,57.0,89.4
27.1,3.0,3.0,31.0,104.8
32.9,6.0,5.0,49.0,128.6
32.4,1.0,4.0,58.0,124.6
3.7,9.0,4.0,54.0,84.5
3.7,2.0,1.0,56.0,42.5
18.3,5.0,2.0,,80.2
7.3,6.0,3.0,47.0,77.9
28.0,7.0,5.0,53.0,133.8
8.1,9.0,3.0,41.0,63.5
26.9,4.0,5.0,14.0,108.3
38.3,9.0,5.0,12.0,140.8
14.1,2.0,2.0,39.0,64.6
25.4,5.0,2.0,28.0,82.9
19.5,3.0,4.0,50.0,103.3
9.4,9.0,5.0,,101.6
13.8,8.0,2.0,23.0,74.3
1.2,2.0,2.0,10.0,33.7
30.2,10.0,1.0,15.0,100.4
29.2,5.0,5.0,46.0,121.8
17.3,9.0,4.0,18.0,95.5
1.7,4.0,5.0,28.0,68.2
10.2,2.0,3.0,32.0,64.0
30.1,7.0,2.0,53.0,123.7
33.6,7.0,1.0,47.0,100.7
21.1,2.0,5.0,22.0,107.1
-10.0,4.0,4.0,12.0,94.1
8.0,1.0,1.0,51.0,54.8
23.8,8.0,4.0,54.0,117.5
6.2,2.0,1.0,23.0,44.9
39.2,7.0,3.0,5.0,121.4
13.5,10.0,4.0,19.0,97.5
21.2,5.0,1.0,25.0,80.3
37.6,1.0,2.0,41.0,118.6
30.6,6.0,3.0,37.0,114.3
35.3,6.0,4.0,23.0,124.6
34.3,6.0,3.0,13.0,113.8
14.8,,3.0,59.0,81.6
21.9,7.0,1.0,45.0,91.7
35.4,4.0,5.0,27.0,131.0
18.8,5.0,2.0,15.0,80.7
6.7,7.0,3.0,34.0,65.5
8.4,9.0,4.0,44.0,89.8
19.7,1.0,2.0,55.0,76.6
37.2,4.0,4.0,34.0,138.4
,10.0,3.0,50.0,97.7
39.3,7.0,5.0,32.0,144.6
10.5,3.0,5.0,57.0,90.6
19.0,9.0,1.0,33.0,82.0
30.2,9.0,1.0,35.0,96.1
6.2,10.0,1.0,59.0,58.6
26.2,3.0,1.0,33.0,85.4
36.3,3.0,5.0,12.0,134.1
1.4,,4.0,10.0,57.7
13.0,9.0,5.0,8.0,96.7
35.6,8.0,2.0,28.0,111.1
30.8,6.0,1.0,8.0,88.9
39.6,1.0,1.0,39.0,112.2
17.0,6.0,5.0,34.0,107.2
16.6,9.0,5.0,6.0,100.7
39.5,5.0,1.0,60.0,117.7
36.5,3.0,3.0,41.0,127.3
17.2,3.0,2.0,10.0,73.7
33.2,9.0,4.0,57.0,136.7
28.5,4.0,4.0,26.0,115.4
6.8,2.0,3.0,52.0,74.6
24.7,9.0,3.0,38.0,115.3
22.6,3.0,3.0,51.0,102.9
29.0,3.0,4.0,21.0,123.6
1.3,1.0,3.0,13.0,40.2
5.2,4.0,3.0,14.0,54.9
22.8,2.0,3.0,33.0,92.5
33.1,2.0,2.0,27.0,114.5
11.8,4.0,1.0,33.0,60.5
20.7,1.0,2.0,38.0,84.0
23.4,10.0,5.0,56.0,118.1
32.6,1.0,2.0,26.0,95.9
9.6,9.0,3.0,6.0,69.0
32.8,1.0,2.0,57.0,114.8
23.9,8.0,4.0,5.0,100.1
13.5,6.0,5.0,21.0,84.7
29.3,2.0,2.0,39.0,96.7
14.4,10.0,1.0,36.0,72.3
31.2,2.0,3.0,36.0,111.9
5.8,7.0,5.0,53.0,86.8
29.7,4.0,5.0,8.0,117.1
14.4,4.0,4.0,55.0,88.0
36.8,8.0,5.0,52.0,141.7
34.6,9.0,1.0,15.0,106.7
38.8,6.0,3.0,48.0,137.2
23.5,10.0,3.0,14.0,98.8
32.5,6.0,3.0,6.0,113.7
23.5,2.0,3.0,28.0,92.4
21.9,5.0,5.0,27.0,114.3
38.9,3.0,4.0,23.0,139.1
28.0,5.0,1.0,34.0,84.0
36.1,5.0,2.0,28.0,107.7
23.3,2.0,5.0,56.0,111.2
31.8,3.0,4.0,41.0,120.4
2.4,2.0,4.0,54.0,65.3
17.9,8.0,3.0,13.0,99.1
24.1,4.0,5.0,58.0,127.3
11.2,1.0,,49.0,77.9
5.6,2.0,5.0,55.0,81.5
12.9,4.0,3.0,16.0,59.3
16.3,,5.0,44.0,108.3
8.5,3.0,3.0,21.0,57.2
12.4,1.0,2.0,41.0,61.0
2.1,4.0,3.0,57.0,58.0
36.2,5.0,1.0,19.0,107.0
18.2,7.0,3.0,21.0,87.6
5.4,4.0,3.0,34.0,59.6
,3.0,1.0,26.0,50.7
26.9,6.0,5.0,35.0,124.8
